invoice_id,shipment_id,amount_usd,currency,issued_at
INV-2001,SHP-1001,340.00,USD,2025-01-10
INV-2002,SHP-1002,120.50,USD,2025-01-09
INV-2003,SHP-1003,410.75,USD,2025-01-10
INV-2004,SHP-1004,275.00,USD,2025-01-05
INV-2005,SHP-1005,890.25,USD,2025-01-15
INV-2006,SHP-1007,505.40,EUR,2025-01-16
INV-2007,SHP-1008,298.00,USD,2025-01-17
INV-2008,SHP-1009,160.00,USD,16/01/2025
INV-2009,SHP-1011,640.00,USD,2025-01-18
INV-2010,SHP-1012,410.00,GBP,2025-01-21
INV-2011,SHP-1014,95.00,USD,2025-01-20
INV-2012,SHP-9999,180.00,USD,2025-01-22
INV-2013,SHP-1016,388.90,USD,2025-01-12
INV-2014,SHP-1018,551.00,USD,2025-01-26
INV-2014,SHP-1018,551.00,USD,2025-01-26
