meter_id,site_ref,installed_on,register_digits,tariff_code,status
MTR-0001,UPN-4471,2022-03-14,5,STD-A,active
MTR-0002,UPN-4472,2022-07-02,5,STD-A,active
MTR-0003,UPN-4473,2023-01-19,6,ECO-7,active
MTR-0004,UPN-4474,2023-05-30,5,STD-A,active
MTR-0005,UPN-4475,2023-09-11,5,COM-1,active
MTR-0006,UPN-4476,2024-02-06,6,ECO-7,inactive
MTR-0007,UPN-4477,2024-08-21,5,STD-A,active
MTR-0008,UPN-4478,2024-11-04,5,STD-B,active
MTR-0009,UPN-4471,2025-01-15,5,STD-B,dormant
MTR-0010,UPN-4473,2025-02-27,6,ECO-7,pending_install
MTR-0011,UPN-5108,2023-06-08,5,ECO-7,decommissioned
MTR-0012,UPN-5109,2023-10-22,5,COM-1,removed
MTR-0013,UPN-5110,2024-04-17,6,COM-1,active
MTR-0014,UPN-5111,2025-04-18,5,STD-B,active
