reading_id,meter_id,read_on,register_value,source
RDG-100001,MTR-0001,2024-01-31,10420,A
RDG-100002,MTR-0001,2024-04-30,11960,A
RDG-100003,MTR-0001,2024-07-31,13015,E
RDG-100004,MTR-0001,2024-10-31,12880,A
RDG-100005,MTR-0002,2024-02-29,8330,A
RDG-100006,MTR-0002,2024-05-31,9755,A
RDG-100007,MTR-0002,2024-08-31,11100,N/A
RDG-100026,MTR-0002,2024-11-30,108450,A
RDG-100008,MTR-0003,2024-03-31,204500,A
RDG-100009,MTR-0003,2024-06-30,219340,A
RDG-100010,MTR-0003,2024-09-30,219100,E
RDG-100011,MTR-0004,2024-04-30,15680,A
RDG-100012,MTR-0004,2024-07-31,17245,A
RDG-100013,MTR-0004,2024-10-31,16820,A
RDG-100014,MTR-0005,2024-05-31,44120,C
RDG-100015,MTR-0005,2024-08-31,43015,C
RDG-100016,MTR-0006,2024-01-15,7740,A
RDG-100017,MTR-0006,2024-06-30,7740,A
RDG-100018,MTR-0007,2024-06-30,3120,A
RDG-100019,MTR-0007,2024-12-31,5480,N/A
RDG-100020,MTR-0008,2025-01-31,102340,A
RDG-100021,MTR-0009,2025-03-31,1148200,A
RDG-100022,MTR-0010,30/04/2025,336210,E
RDG-100023,MTR-0011,2025-05-31,faulty,A
RDG-100024,MTR-9998,2025-06-30,20415,A
RDG-100025,MTR-0012,2025-07-31,61230,C
RDG-100025,MTR-0012,2025-07-31,61230,C
RDG-100027,MTR-0013,2024-08-31,88200,A
RDG-100028,MTR-0014,2025-06-30,4310,A
